Date_Time,Value
1/01/1950,10.4544
2/01/1950,10.4544
3/01/1950,10.4544
4/01/1950,10.4544
5/01/1950,10.4544
6/01/1950,10.4544
7/01/1950,10.1952
8/01/1950,9.504
9/01/1950,8.8128
10/01/1950,8.1216
11/01/1950,7.4304
12/01/1950,6.7392
13/01/1950,6.048
14/01/1950,5.3568
15/01/1950,4.4928
16/01/1950,3.3696
17/01/1950,2.16
18/01/1950,1.0368
19/01/1950,204.768
20/01/1950,3556.224
21/01/1950,395.0208
22/01/1950,239.2416
23/01/1950,149.9904
24/01/1950,107.8272
25/01/1950,93.6576
26/01/1950,83.0304
27/01/1950,76.464
28/01/1950,65.4912
29/01/1950,45.7056
30/01/1950,33.3504
31/01/1950,36.8064
1/02/1950,43.7184
2/02/1950,55.1232
3/02/1950,65.8368
4/02/1950,59.5296
5/02/1950,47.088
6/02/1950,1063.8432
7/02/1950,2338.848
8/02/1950,2010.528
9/02/1950,770.7744
10/02/1950,478.9152
11/02/1950,361.584
12/02/1950,282.8736
13/02/1950,229.6512
14/02/1950,200.1024
15/02/1950,166.2336
16/02/1950,245.5488
17/02/1950,539.4816
18/02/1950,275.7024
19/02/1950,473.472
20/02/1950,731.7216
21/02/1950,391.392
22/02/1950,259.9776
23/02/1950,202.0032
24/02/1950,163.9008
25/02/1950,129.3408
26/02/1950,94.0032
27/02/1950,85.7952
28/02/1950,77.6736
1/03/1950,69.552
2/03/1950,61.4304
3/03/1950,53.3088
4/03/1950,45.1872
5/03/1950,40.0896
6/03/1950,42.336
7/03/1950,44.8416
8/03/1950,51.2352
9/03/1950,235.6128
10/03/1950,251.1648
11/03/1950,318.4704
12/03/1950,1465.776
13/03/1950,1276.4736
14/03/1950,445.9968
15/03/1950,257.8176
16/03/1950,229.392
17/03/1950,280.4544
18/03/1950,351.5616
19/03/1950,2413.584
20/03/1950,3545.856
21/03/1950,2059.1712
22/03/1950,1381.7088
23/03/1950,2001.456
24/03/1950,1539.9072
25/03/1950,1374.2784
26/03/1950,1362.6144
27/03/1950,1353.024
28/03/1950,1350
29/03/1950,1347.408
30/03/1950,1336.9536
31/03/1950,1659.0528
1/04/1950,1371.8592
2/04/1950,1644.0192
3/04/1950,1525.824
4/04/1950,1769.9904
5/04/1950,1780.8768
6/04/1950,1449.2736
7/04/1950,2608.416
8/04/1950,1866.1536
9/04/1950,1066.5216
10/04/1950,881.8848
11/04/1950,655.344
12/04/1950,551.0592
13/04/1950,455.8464
14/04/1950,416.5344
15/04/1950,398.2176
16/04/1950,289.6992
17/04/1950,194.7456
18/04/1950,186.192
19/04/1950,178.416
20/04/1950,170.7264
21/04/1950,162.9504
22/04/1950,155.2608
23/04/1950,147.4848
24/04/1950,139.3632
25/04/1950,130.2912
26/04/1950,121.2192
27/04/1950,112.1472
28/04/1950,103.0752
29/04/1950,94.0032
30/04/1950,84.9312
1/05/1950,75.8592
2/05/1950,66.7008
3/05/1950,56.0736
4/05/1950,41.904
5/05/1950,29.4624
6/05/1950,25.7472
7/05/1950,23.328
8/05/1950,20.736
9/05/1950,871.6896
10/05/1950,517.968
11/05/1950,286.5888
12/05/1950,0
13/05/1950,0
14/05/1950,0
15/05/1950,0
16/05/1950,0
17/05/1950,0
18/05/1950,0
19/05/1950,0
20/05/1950,0
21/05/1950,98.12859218
22/05/1950,261.36
23/05/1950,256.4352
24/05/1950,250.0416
25/05/1950,898.3872
26/05/1950,599.8752
27/05/1950,470.9664
28/05/1950,389.8368
29/05/1950,379.296
30/05/1950,417.1392
31/05/1950,455.2416
1/06/1950,553.824
2/06/1950,546.3072
3/06/1950,513.8208
4/06/1950,473.7312
5/06/1950,453.168
6/06/1950,456.3648
7/06/1950,459.5616
8/06/1950,1027.1232
9/06/1950,4674.24
10/06/1950,1135.3824
11/06/1950,796.6944
12/06/1950,893.7216
13/06/1950,2081.7216
14/06/1950,1044.4032
15/06/1950,896.9184
16/06/1950,1671.6672
17/06/1950,2641.0752
18/06/1950,1874.7936
19/06/1950,3123.792
20/06/1950,5701.1904
21/06/1950,4669.6608
22/06/1950,1257.6384
23/06/1950,4934.3904
24/06/1950,8711.3664
25/06/1950,6066.144
26/06/1950,5907.8592
27/06/1950,5028.8256
28/06/1950,1225.4976
29/06/1950,721.7856
30/06/1950,510.4512
1/07/1950,390.6144
2/07/1950,334.8
3/07/1950,278.9856
4/07/1950,223.1712
5/07/1950,205.2864
6/07/1950,220.752
7/07/1950,236.304
8/07/1950,251.856
9/07/1950,267.408
10/07/1950,282.96
11/07/1950,298.4256
12/07/1950,313.9776
13/07/1950,329.5296
14/07/1950,332.1216
15/07/1950,321.6672
16/07/1950,311.2128
17/07/1950,300.7584
18/07/1950,290.304
19/07/1950,279.8496
20/07/1950,269.3952
21/07/1950,94.32638293
22/07/1950,30.92292017
23/07/1950,2168.848875
24/07/1950,3436.173431
25/07/1950,1314.583768
26/07/1950,606.7673299
27/07/1950,295.0591818
28/07/1950,448.3175323
29/07/1950,497.8314395
30/07/1950,357.083437
31/07/1950,337.4165314
1/08/1950,353.5674855
2/08/1950,381.3864105
3/08/1950,264.1248
4/08/1950,185.328
5/08/1950,181.1808
6/08/1950,189.4752
7/08/1950,150.336
8/08/1950,118.6272
9/08/1950,111.2832
10/08/1950,105.4944
11/08/1950,99.7056
12/08/1950,93.8304
13/08/1950,88.0416
14/08/1950,85.6224
15/08/1950,87.3504
16/08/1950,89.1648
17/08/1950,90.8928
18/08/1950,92.6208
19/08/1950,94.3488
20/08/1950,96.0768
21/08/1950,96.5088
22/08/1950,93.2256
23/08/1950,89.7696
24/08/1950,86.2272
25/08/1950,82.7712
26/08/1950,79.3152
27/08/1950,75.8592
28/08/1950,79.6608
29/08/1950,99.1008
30/08/1950,106.0992
31/08/1950,84.8448
