"","Date_Time","Value"
"1",1963-07-05,0
"2",1963-07-06,4.4
"3",1963-07-07,4
"4",1963-07-08,6.7
"5",1963-07-09,5
"6",1963-07-10,1.6
"7",1963-07-11,0
"8",1963-07-12,0
"9",1963-07-13,9.5
"10",1963-07-14,1.6
"11",1963-07-15,0
"12",1963-07-16,0
"13",1963-07-17,0
"14",1963-07-18,0
"15",1963-07-19,0
"16",1963-07-20,1.4
"17",1963-07-21,7
"18",1963-07-22,5.7
"19",1963-07-23,2.5
"20",1963-07-24,0
"21",1963-07-25,0
"22",1963-07-26,0
"23",1963-07-27,0
"24",1963-07-28,3.2
"25",1963-07-29,10.4
"26",1963-07-30,14.3
"27",1963-07-31,1.5
"28",1963-08-01,0.3
"29",1963-08-02,2.5
"30",1963-08-03,0
"31",1963-08-04,0
"32",1963-08-05,11.9
"33",1963-08-06,0.5
"34",1963-08-07,0
"35",1963-08-08,0
"36",1963-08-09,0
"37",1963-08-10,0
"38",1963-08-11,0
"39",1963-08-12,0
"40",1963-08-13,0
"41",1963-08-14,0
"42",1963-08-15,0.8
"43",1963-08-16,19.6
"44",1963-08-17,1.1
"45",1963-08-18,0
"46",1963-08-19,0
"47",1963-08-20,0
"48",1963-08-21,0.3
"49",1963-08-22,3.8
"50",1963-08-23,7.6
"51",1963-08-24,0
"52",1963-08-25,7.5
"53",1963-08-26,25.2
"54",1963-08-27,2.8
"55",1963-08-28,1.3
"56",1963-08-29,1.7
"57",1963-08-30,0.5
"58",1963-08-31,4.8
"59",1963-09-01,0
"60",1963-09-02,0
"61",1963-09-03,0
"62",1963-09-04,0
"63",1963-09-05,12.4
"64",1963-09-06,0.9
"65",1963-09-07,2.6
"66",1963-09-08,0.6
"67",1963-09-09,0.5
"68",1963-09-10,0
"69",1963-09-11,0.3
"70",1963-09-12,3.7
"71",1963-09-13,6.3
"72",1963-09-14,0.1
"73",1963-09-15,0
"74",1963-09-16,0
"75",1963-09-17,5.3
"76",1963-09-18,0.7
"77",1963-09-19,0
"78",1963-09-20,0
"79",1963-09-21,0
"80",1963-09-22,0
"81",1963-09-23,11.8
"82",1963-09-24,29.4
"83",1963-09-25,0
"84",1963-09-26,0
"85",1963-09-27,12.5
"86",1963-09-28,2.3
"87",1963-09-29,0
"88",1963-09-30,1.5
"89",1963-10-01,19.5
"90",1963-10-02,0.8
"91",1963-10-03,3.3
"92",1963-10-04,1.6
"93",1963-10-05,0
"94",1963-10-06,0
"95",1963-10-07,0
"96",1963-10-08,0
"97",1963-10-09,0
"98",1963-10-10,0
"99",1963-10-11,0
"100",1963-10-12,0.1
"101",1963-10-13,4.4
"102",1963-10-14,0.8
"103",1963-10-15,0.3
"104",1963-10-16,0
"105",1963-10-17,0
"106",1963-10-18,0
"107",1963-10-19,0
"108",1963-10-20,7.1
"109",1963-10-21,0
"110",1963-10-22,0
"111",1963-10-23,1.9
"112",1963-10-24,0
"113",1963-10-25,1.7
"114",1963-10-26,4
"115",1963-10-27,0.6
"116",1963-10-28,4.8
"117",1963-10-29,4.3
"118",1963-10-30,20.3
"119",1963-10-31,4.5
"120",1963-11-01,3.7
"121",1963-11-02,8.2
"122",1963-11-03,6.7
"123",1963-11-04,0
"124",1963-11-05,0.2
"125",1963-11-06,7.4
"126",1963-11-07,18.1
"127",1963-11-08,3.2
"128",1963-11-09,0
"129",1963-11-10,0
"130",1963-11-11,0
"131",1963-11-12,0
"132",1963-11-13,0
"133",1963-11-14,6.5
"134",1963-11-15,0
"135",1963-11-16,0.3
"136",1963-11-17,0
"137",1963-11-18,0
"138",1963-11-19,0
"139",1963-11-20,0
"140",1963-11-21,1.7
"141",1963-11-22,1.8
"142",1963-11-23,0
"143",1963-11-24,0.3
"144",1963-11-25,0.4
"145",1963-11-26,0
"146",1963-11-27,0
"147",1963-11-28,0
"148",1963-11-29,2
"149",1963-11-30,6.1
"150",1963-12-01,0
"151",1963-12-02,0
"152",1963-12-03,0
"153",1963-12-04,0
"154",1963-12-05,0.9
"155",1963-12-06,0
"156",1963-12-07,25
"157",1963-12-08,5.3
"158",1963-12-09,13.8
"159",1963-12-10,1.1
"160",1963-12-11,0.6
"161",1963-12-12,11.8
"162",1963-12-13,7.9
"163",1963-12-14,14.9
"164",1963-12-15,1.6
"165",1963-12-16,1.7
"166",1963-12-17,1
"167",1963-12-18,1.3
"168",1963-12-19,0.6
"169",1963-12-20,0
"170",1963-12-21,0
"171",1963-12-22,0
"172",1963-12-23,0
"173",1963-12-24,0.3
"174",1963-12-25,0
"175",1963-12-26,0.7
"176",1963-12-27,0
"177",1963-12-28,0
"178",1963-12-29,2.5
"179",1963-12-30,0.2
"180",1963-12-31,0.3
"181",1964-01-01,0
"182",1964-01-02,0
"183",1964-01-03,0
"184",1964-01-04,0
"185",1964-01-05,0
"186",1964-01-06,0
"187",1964-01-07,0
"188",1964-01-08,0
"189",1964-01-09,17.6
"190",1964-01-10,0
"191",1964-01-11,0
"192",1964-01-12,0
"193",1964-01-13,0
"194",1964-01-14,1.6
