"","ID","Lat","Long","Juradiction","Area(Km^2)","Start","End","x1","x2","x3","x4","NSE","NearestSilo"
"1","410730",-35.59,148.82,"ACT",130,19630705,20190228,"1015.790","   1.784","  66.726","   1.216","0.736","70317"
"2","215004",-35.15,150.03,"NSW",165.6,19500101,20190228,"33.925"," 0.790","28.836"," 1.225","0.721","69049"
"3","206018",-31.05,151.77,"NSW",851.9,19600330,20190228,"354.249","  0.030","  7.029","  1.378","0.489","57037"
"4","210040",-32.27,150.63,"NSW",670.8,19550615,20190228,"377.706","  0.120","  1.446","  1.199","0.259","61317"
"5","G8140063",-13.8,131.34,"NT",831.1,19570907,20190228,"325.433"," -6.192","133.672","  1.342","0.6","14901"
"6","G8170002",-13.24,131.11,"NT",638.4,19641029,20190228,"288.009"," -2.908"," 75.872","  1.291","0.73","14092"
"7","915206A",-20.2,140.22,"QLD",658.8,19691003,20190228,"305.867"," -6.571","  0.377","  1.277","0.404","29022"
"8","143107A",-27.6,152.69,"QLD",628.1,19611003,20190228,"162.390","  0.242"," 12.680","  1.427","0.764","40004"
"9","136202D",-26.3,152.04,"QLD",646.6,19641002,20190228,"149.905","  0.232"," 13.736","  1.691","0.709","40010"
"10","108002A",-16.18,145.28,"QLD",907.3,19680927,20190228,"3530.790"," -16.393"," 111.906","   1.208","0.588","31102"
"11","111005A",-17.18,145.72,"QLD",358.2,19661030,20190228,"320.538","  3.589"," 20.905","  1.154","0.686","31020"
"12","121002A",-19.94,147.84,"QLD",279.6,19730314,20190228,"239.847"," -0.987","  5.769","  1.122","0.527","33150"
"13","405219",-37.33,146.13,"VIC",700.2,19671214,20190228,"358.717","  1.093","145.236","  2.210","0.828","83017"
"14","238204",-37.63,142.34,"VIC",384.9,19701015,20190228,"470.966"," -0.027"," 42.086","  5.545","0.544","89011"
"15","403214",-36.58,146.82,"VIC",138,19610630,20190228,"456.031"," -2.643"," 76.491","  1.099","0.775","83057"
"16","226209",-38.21,146,"VIC",208.3,19601021,20190228,"336.972","  0.201"," 20.086","  1.300","0.815","85093"
"17","304040",-42.44,146.52,"TAS",445,19510120,20190228,"900.521","  1.812"," 18.315","  2.482","0.69","95027"
"18","314207",-41.25,146.09,"TAS",499.3,19630620,20190228,"479.091","  2.159"," 26.535","  1.340","0.72","91017"
"19","A5030502",-35.1,138.67,"SA",29,19690329,20190228,"349.668"," -0.568"," 16.780","  1.131","0.759","23734"
"20","A5060500",-34.13,138.63,"SA",500.9,19710916,20190228,"341.410"," -0.358","  3.759","  1.263","0.328","23039"
"21","A5090503",-32.09,138.29,"SA",175.7,19770920,20190228," 88.017","-30.487","  9.378","  0.850","0.53","19015"
"22","616216",-31.97,116.29,"WA",593.8,19660527,20190228,"637.057","-30.222"," 60.656","  1.401","0.839","9007"
"23","613002",-33.09,116.04,"WA",148,19700320,20190228,"2520.154","   1.083","  26.776","   1.859","0.82","9580"
"24","609002",-34.28,115.3,"WA",640.9,19690419,20190228,"480.124"," -2.389"," 70.719","  2.458","0.815","9926"
"25","709010",-21.23,118.83,"WA",907.2,19850114,20190228," 45.976","-28.316"," 99.097","  1.051","0.616","4079"
