"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Good","Good","Good","Good","Fair","Fair","Good","Good","Good","Fair","Good","Good"
"","Good","Good","Good","Fair","Fair","Fair","Good","Good","Fair","Good","Good","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair"
"","Good","Good","Good","Fair","Poor","Good","Good","Good","Good","Good","Fair","Good"
"","Good","Good","Good","Fair","Good","Good","Good","Good","Poor","Good","Good","Good"
"","Good","Good","Good","Fair","Good","Good","Good","Good","Poor","Good","Good","Good"
"","Good","Fair","Good","Fair","Good","Good","Good","Poor","Poor","Good","Good","Good"
"","Good","Poor","Good","Good","Good","Good","Good","Good","Fair","Good","Good","Good"
"Mean","Fair","Fair","Good","Good","Good","Good","Good","Good","Poor","Good","Good","Good"
"SD","Poor","Good","Good","Good","Good","Fair","Good","Good","Fair","Good","Good","Fair"
