"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Fair"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Fair"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Fair"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Fair","Good"
"","Good","Fair","Good","Good","Fair","Good","Good","Good","Good","Fair","Fair","Good"
"","Poor","Poor","Fair","Fair","Poor","Fair","Good","Good","Fair","Fair","Good","Poor"
"Mean","Poor","Poor","Fair","Fair","Poor","Good","Good","Good","Good","Good","Good","Poor"
"SD","Poor","Poor","Fair","Poor","Poor","Poor","Good","Good","Good","Good","Good","Poor"
