"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Poor","Good","Good","Fair","Fair","Poor","Good","Good","Good"
"SD","Poor","Good","Good","Poor","Fair","Fair","Fair","Poor","Poor","Good","Good","Fair"
"Skew","Good","Good","Good","Poor","Poor","Poor","Good","Poor","Poor","Good","Good","Good"
"Mean","Good","Good","Good","Good","Good","Good","Good","Poor","Poor","Good","Good","Good"
"SD","Fair","Good","Good","Good","Good","Good","Good","Poor","Poor","Good","Good","Good"
"5th","Good","Good","Good","Poor","Poor","Poor","Good","Poor","Poor","Fair","Good","Good"
"95th","Good","Good","Good","Poor","Good","Good","Good","Poor","Poor","Good","Good","Good"
"MeanWetDay","Good","Good","Good","Poor","Poor","Good","Poor","Poor","Fair","Good","Good","Good"
"SDWetDay","Good","Good","Fair","Fair","Good","Good","Good","Poor","Poor","Fair","Good","Good"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Poor","Poor","Good","Good","Good"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Poor","Poor","Good","Good","Good"
