"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Fair","Good","Good","Good","Good","Good","Fair","Good","Good","Good","Good","Good"
"Skew","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Poor","Poor","Fair","Fair","Fair","Fair","Poor","Good","Good","Fair","Good","Fair"
"5th","Good","Fair","Good","Good","Good","Good","Good","Fair","Good","Fair","Fair","Fair"
"95th","Good","Fair","Good","Good","Poor","Good","Fair","Good","Good","Fair","Good","Good"
"MeanWetDay","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SDWetDay","Fair","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Fair","Poor","Poor","Poor"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
