"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Good","Good","Good","Good","Fair","Fair","Good","Good","Good","Good","Good","Good"
"","Good","Good","Good","Fair","Fair","Fair","Fair","Good","Good","Good","Good","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Good","Fair","Good"
"","Good","Good","Good","Fair","Good","Good","Good","Good","Poor","Good","Fair","Good"
"","Good","Fair","Good","Poor","Good","Good","Good","Good","Fair","Good","Fair","Good"
"","Good","Fair","Fair","Poor","Fair","Fair","Good","Good","Good","Good","Good","Good"
"Mean","Fair","Poor","Fair","Good","Good","Fair","Poor","Poor","Poor","Poor","Poor","Fair"
"SD","Fair","Poor","Good","Good","Good","Good","Poor","Poor","Poor","Poor","Good","Poor"
"5th","Good","Good","Fair","Good","Good","Poor","Poor","Fair","Poor","Poor","Poor","Good"
"95th","Good","Poor","Good","Good","Good","Good","Poor","Poor","Poor","Poor","Good","Fair"
"50th","Good","Poor","Good","Good","Good","Poor","Poor","Poor","Poor","Poor","Poor","Good"
"MeanWetDay","Good","Poor","Poor","Poor","Poor","Good","Good","Poor","Poor","Poor","Poor","Poor"
"SDWetDay","Fair","Good","Good","Poor","Fair","Good","Good","Poor","Poor","Poor","Poor","Poor"
