"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Good","Good","Good","Fair","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Good"
"","Good","Good","Good","Poor","Poor","Poor","Poor","Poor","Poor","Fair","Good","Good"
"","Good","Good","Good","Poor","Fair","Poor","Poor","Poor","Poor","Fair","Good","Fair"
"","Good","Good","Good","Good","Poor","Poor","Fair","Fair","Good","Good","Fair","Good"
"","Good","Good","Good","Good","Fair","Good","Fair","Good","Poor","Good","Good","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Good","Good","Good"
"","Good","Poor","Good","Fair","Good","Good","Good","Good","Poor","Good","Good","Good"
"","Good","Fair","Good","Poor","Fair","Fair","Good","Good","Good","Good","Good","Good"
"Mean","Fair","Fair","Good","Poor","Fair","Fair","Good","Good","Good","Good","Fair","Good"
"SD","Poor","Fair","Good","Poor","Poor","Poor","Good","Good","Good","Fair","Good","Fair"
