"station" "latitude" "longitude" "jurisdiction" "area" "start" "finish" "ID"
"1" "410730" -35.59 148.82 "ACT" 130 19630705 20190228 1
"2" "215004" -35.15 150.03 "NSW" 165.6 19500101 20190228 2
"3" "206018" -31.05 151.77 "NSW" 851.9 19600330 20190228 3
"4" "210040" -32.27 150.63 "NSW" 670.8 19550615 20190228 4
"5" "G8140063" -13.8 131.34 "NT" 831.1 19570907 20190228 5
"6" "G8170002" -13.24 131.11 "NT" 638.4 19641029 20190228 6
"7" "915206A" -20.2 140.22 "QLD" 658.8 19691003 20190228 7
"8" "143107A" -27.6 152.69 "QLD" 628.1 19611003 20190228 8
"9" "136202D" -26.3 152.04 "QLD" 646.6 19641002 20190228 9
"10" "108002A" -16.18 145.28 "QLD" 907.3 19680927 20190228 10
"11" "111005A" -17.18 145.72 "QLD" 358.2 19661030 20190228 11
"12" "121002A" -19.94 147.84 "QLD" 279.6 19730314 20190228 12
"13" "405219" -37.33 146.13 "VIC" 700.2 19671214 20190228 13
"14" "238204" -37.63 142.34 "VIC" 384.9 19701015 20190228 14
"15" "403214" -36.58 146.82 "VIC" 138 19610630 20190228 15
"16" "226209" -38.21 146 "VIC" 208.3 19601021 20190228 16
"17" "304040" -42.44 146.52 "TAS" 445 19510120 20190228 17
"18" "314207" -41.25 146.09 "TAS" 499.3 19630620 20190228 18
"19" "A5030502" -35.1 138.67 "SA" 29 19690329 20190228 19
"20" "A5060500" -34.13 138.63 "SA" 500.9 19710916 20190228 20
"21" "A5090503" -32.09 138.29 "SA" 175.7 19770920 20190228 21
"22" "616216" -31.97 116.29 "WA" 593.8 19660527 20190228 22
"23" "613002" -33.09 116.04 "WA" 148 19700320 20190228 23
"24" "609002" -34.28 115.3 "WA" 640.9 19690419 20190228 24
"25" "709010" -21.23 118.83 "WA" 907.2 19850114 20190228 25
